time,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop
1789951859.0,47.61931500000001,-122.33866666666667,52.4,549694.2295172142,5274201.933769933,10,T,0.96
1789951860.0,47.619305000000004,-122.338675,52.4,549693.6128084823,5274200.81705301,10,T,0.96
1789951861.0,47.619294999999994,-122.33868333333334,52.2,549692.9960995098,5274199.700336156,10,T,1.15
1789951862.0,47.619285000000005,-122.338695,52.2,549692.1289162065,5274198.581483774,10,T,0.96
1789951863.0,47.61927333333333,-122.33870499999999,52.2,549691.3885489204,5274197.278469681,10,T,0.96
1789951864.0,47.61926666666667,-122.33871333333333,52.3,549690.7686806087,5274196.532212319,10,T,0.96
1789951865.0,47.619260000000004,-122.33872333333332,52.5,549690.0235750331,5274195.784887272,10,T,0.96
1789951866.0,47.619249999999994,-122.338735,52.6,549689.1563905636,5274194.666035343,10,T,1.15
1789951867.0,47.61924166666666,-122.33874833333333,52.7,549688.1623894293,5274193.731345457,10,T,1.15
1789951868.0,47.61923166666667,-122.33876333333335,52.8,549687.0447299484,5274192.610358437,10,T,0.96
1789951869.0,47.61921833333334,-122.33877166666667,52.9,549686.4311770673,5274191.123183068,10,T,0.96
1789951870.0,47.61920666666666,-122.33878666666666,53.0,549685.3150958349,5274189.816966765,10,T,0.96
1789951871.0,47.61919666666666,-122.33879666666665,53.2,549684.5731468162,5274188.699183196,10,T,0.96
1789951872.0,47.619185,-122.33880666666667,53.3,549683.8327765457,5274187.396170104,10,T,0.96
1789951873.0,47.619175,-122.33882333333334,53.4,549682.5898776918,5274186.274116344,10,T,0.96
1789951874.0,47.61916333333333,-122.33883499999999,53.6,549681.7242693274,5274184.970035941,10,T,0.96
1789951875.0,47.619159999999994,-122.33882999999999,53.9,549682.1031393001,5274184.60277943,10,T,0.96
1789951876.0,47.619159999999994,-122.33880166666668,54.2,549684.2321741411,5274184.620928683,10,T,0.96
1789951877.0,47.619150000000005,-122.33876000000001,54.4,549687.3725826286,5274183.536242465,10,T,0.96
1789951878.0,47.61914166666667,-122.33875833333335,54.7,549687.5057157581,5274182.61116207,10,T,0.96
1789951879.0,47.61913500000001,-122.33875666666667,54.9,549687.6372697719,5274181.871311298,10,T,0.96
1789951880.0,47.61912833333334,-122.33876333333335,55.2,549687.1426367186,5274181.126122055,10,T,0.96
1789951881.0,47.61912166666666,-122.33876333333335,55.4,549687.1489532788,5274180.385203583,10,T,0.96
1789951882.0,47.619105000000005,-122.33876000000001,55.5,549687.4152196269,5274178.535042796,10,T,0.96
1789951883.0,47.619085,-122.338765,55.7,549687.0584568258,5274176.309084332,10,T,0.96
1789951884.0,47.619069999999994,-122.33876333333335,55.9,549687.1979065975,5274174.643085475,10,T,0.96
1789951885.0,47.61905,-122.33877,56.1,549686.7159058339,5274172.416059363,10,T,0.96
1789951886.0,47.619035000000004,-122.33878833333334,56.5,549685.3525038663,5274170.73724854,10,T,0.96
1789951887.0,47.61901666666666,-122.33879666666665,56.8,549684.743685294,5274168.694384576,10,T,0.96
1789951888.0,47.61899666666667,-122.33880166666668,57.0,549684.3869207781,5274166.468426323,10,T,0.96
1789951889.0,47.61897833333334,-122.33881166666667,57.3,549683.652863608,5274164.424494868,10,T,0.96
1789951890.0,47.61896,-122.33882666666665,57.7,549682.5430924451,5274162.377360745,10,T,0.96
1789951891.0,47.61894166666666,-122.33883333333333,58.0,549682.0595098094,5274160.33556469,10,T,0.96
1789951892.0,47.618923333333335,-122.33884166666667,58.4,549681.4506889116,5274158.292701121,10,T,0.96
1789951893.0,47.61890666666667,-122.33885000000001,58.8,549680.8402886434,5274156.435067235,10,T,0.96
1789951894.0,47.618895,-122.33886499999998,59.1,549679.7241993449,5274155.128852131,10,T,0.96
1789951895.0,47.61888166666666,-122.33888,59.5,549678.6096883959,5274153.637407636,10,T,0.96
1789951896.0,47.61886833333333,-122.33888999999999,59.9,549677.8708909937,5274152.149165805,10,T,0.96
1789951897.0,47.618855,-122.33890166666667,60.3,549677.0068551312,5274150.659856606,10,T,0.96
1789951898.0,47.61884833333333,-122.33891666666665,60.7,549675.8860275499,5274149.90933109,10,T,0.96
1789951899.0,47.61884,-122.33893166666667,61.1,549674.7667784059,5274148.973576183,10,T,0.96
1789951900.0,47.618835000000004,-122.33892666666667,61.1,549675.1472289584,5274148.421089621,10,T,0.96
1789951901.0,47.61882833333334,-122.338915,60.9,549676.030210882,5274147.687643231,10,T,0.96
1789951902.0,47.61881333333334,-122.33890000000001,61.0,549677.1715633612,5274146.030183864,10,T,0.96
1789951903.0,47.618805,-122.33888999999999,60.9,549677.9308865415,5274145.110440684,10,T,0.96
1789951904.0,47.618795,-122.33888833333334,60.9,549678.0655977301,5274144.000130525,10,T,0.96
1789951905.0,47.618784999999995,-122.33888,61.0,549678.701261928,5274142.894090352,10,T,0.96
1789951906.0,47.61877,-122.33887666666666,60.8,549678.9659481524,5274141.229158902,10,T,0.96
1789951907.0,47.61876166666666,-122.338875,60.8,549679.099080748,5274140.304078377,10,T,0.96
1789951908.0,47.61875333333334,-122.33887333333332,60.7,549679.2322133845,5274139.37899786,10,T,0.96
1789951909.0,47.61873833333334,-122.33887166666666,60.7,549679.371661544,5274137.71299892,10,T,0.96
1789951910.0,47.618730000000006,-122.338855,60.6,549680.6319396098,5274136.797526173,10,T,0.96
1789951911.0,47.61872833333334,-122.33875333333332,60.0,549688.2730593808,5274136.677421596,10,T,0.96
1789951912.0,47.61872666666667,-122.33865499999999,59.6,549695.6637028663,5274136.555191299,10,T,0.96
1789951913.0,47.61872666666667,-122.33860833333334,59.4,549699.170377459,5274136.585092553,10,T,0.96
1789951914.0,47.618725,-122.33859166666667,59.1,549700.4243407814,5274136.410542479,10,T,0.96
1789951915.0,47.61872333333334,-122.33858333333335,59.3,549701.0521122522,5274136.230652743,10,T,0.96
1789951916.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951917.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951918.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951919.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951920.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951921.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951922.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951923.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951924.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951925.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951926.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951927.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951928.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951929.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951930.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951931.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951932.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951933.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
1789951934.0,47.61872,-122.33857333333331,59.3,549701.8067017394,5274135.866601463,10,T,0.96
